epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.822,2.08222,4.20115,1.81127,0.014,0.37458,0.11452,0.0671,1.71055,4.02701,1.39871,0.000219288,0.000219288,0.000219288
2,210.967,1.73893,3.27496,1.44145,0.73535,0.2388,0.27595,0.14996,1.64861,2.66418,1.41494,0.000397901,0.000397901,0.000397901
3,310.693,1.66347,2.32622,1.40957,0.72823,0.35484,0.32041,0.16466,1.67726,1.96119,1.44972,0.000532491,0.000532491,0.000532491
4,407.036,1.63084,1.97051,1.37207,0.58306,0.45122,0.43557,0.23998,1.59835,1.72521,1.37698,0.000468901,0.000468901,0.000468901
5,502.838,1.54487,1.6943,1.30459,0.67627,0.56564,0.50364,0.27657,1.55407,1.66859,1.36008,0.000402868,0.000402868,0.000402868
6,602.698,1.50324,1.61097,1.29636,0.68488,0.46565,0.52195,0.295,1.46992,1.48398,1.29763,0.000336835,0.000336835,0.000336835
7,719.845,1.46747,1.53042,1.27651,0.72661,0.45728,0.58033,0.33632,1.40989,1.39523,1.2649,0.000270802,0.000270802,0.000270802
8,842.195,1.41195,1.44562,1.25604,0.75914,0.47791,0.61218,0.37712,1.37083,1.29626,1.23215,0.000204769,0.000204769,0.000204769
9,938.089,1.4115,1.41927,1.22098,0.60367,0.59246,0.59465,0.36825,1.36873,1.27653,1.23182,0.000138736,0.000138736,0.000138736
10,1034.43,1.35468,1.36287,1.21516,0.63699,0.59146,0.60649,0.37922,1.36608,1.25123,1.22983,7.2703e-05,7.2703e-05,7.2703e-05
